縣市,名稱,開發依,開發情,管理單,面積,X,Y,類別
P,雲林科技工業區,促進產業,開發中,工業局中區工業區管理,601.6,202293.555,2625061.36,編定工業區
P,雲林離島式基礎工業區,獎勵投資,開發中,工業局中區工業區管理,17202,167911.354,2631785.2,編定工業區
M,南崗工業區,獎勵投資,已開發完成,工業局中區工業區管理,412,215683.855,2646997.381,編定工業區
M,竹山工業區,獎勵投資,已開發完成,工業局中區工業區管理,22.06,219664.005,2629406.531,編定工業區
K,竹南工業區,獎勵投資,已開發完成,工業局中區工業區管理,76.3,237561.363,2733690.158,編定工業區
K,銅鑼工業區,獎勵投資,已開發完成,工業局中區工業區管理,50.84,229087.016,2708003.719,編定工業區
K,頭份工業區,獎勵投資,已開發完成,工業局中區工業區管理,94.65,239142.652,2730250.833,編定工業區
E,臨海工業區,獎勵投資,已開發完成,工業局南區工業區管理,1518.83,183840.123,2493762.264,編定工業區
E,大發工業區,獎勵投資,已開發完成,工業局南區工業區管理,375.46,191222.359,2497934.619,編定工業區
E,仁武工業區,獎勵投資,已開發完成,工業局南區工業區管理,21.11,182436.084,2511240.111,編定工業區
E,鳳山工業區,獎勵投資,已開發完成,工業局南區工業區管理,10.94,181479.5,2501953.882,編定工業區
E,林園工業區,獎勵投資,已開發完成,工業局南區工業區管理,403.26,189147.131,2488701.191,編定工業區
E,大社工業區,獎勵投資,已開發完成,工業局南區工業區管理,109.95,182251.104,2513786.64,編定工業區
C,大武崙工業區,獎勵投資,已開發完成,工業局北區工業區管理,29,320487.73,2782197.41,編定工業區
E,永安工業區,獎勵投資,已開發完成,工業局南區工業區管理,73.32,173245.722,2523749.075,編定工業區
Q,頭橋工業區,獎勵投資,已開發完成,工業局南區工業區管理,87.49,192065.738,2602067.708,編定工業區
A,南港軟體工業園區,促進產業,已開發完成,工業局北區工業區管理,0,311812.625,2772303.524,編定工業區
B,神岡豐洲科技工業園區,促進產業,已開發完成,縣市政府,47.64,219908.216,2685846.148,報編工業區區
B,台中精密機械科技創新,促進產業,已開發完成,縣市政府,124.78,209395.683,2671469.24,報編工業區區
B,太平工業區,獎勵投資,已開發完成,縣市政府,18,222407.713,2668931.565,報編工業區區
B,外埔工業用地,獎勵投資,自行購地設廠,縣市政府,21,212690.675,2691203.558,報編工業區區
B,台中精密機械科技創新,促進產業,開發中,縣市政府,36.92,208496.944,2671568.469,報編工業區區
B,仁化工業區,促進產業,已開發完成,民營事業與興辦工業人,29.67,221854.494,2665299.632,報編工業區區
B,霧峰工業區,促進產業,開發中,民營事業與興辦工業人,20.75,217304.293,2661783.056,報編工業區區
B,豐興公司后里廠,促進產業,開發中,民營事業與興辦工業人,8.37,220893.569,2690392.559,報編工業區區
B,磯鑫工業區,產業創新,開發中,興辦工業人,9.24,215485.355,2686499.982,報編工業區區
B,豐洲科技工業區第二期,產業創新,編定中,縣市政府,55.68,217171.332,2686096.915,報編工業區區
B,台中高鐵產業創意園區,產業創新,編定中,公民營事業,7.91,209825.578,2667591.531,報編工業區區
B,大里夏田產業園區,產業創新,編定中,縣市政府,186.45,216309.274,2664902.358,報編工業區區
B,明傳產業園區,產業創新,已編定未開發,公民營事業,10.34,212422.17,2665763.268,報編工業區區
B,太平產業園區,產業創新,開發中,縣市政府,14.37,222176.359,2666192.492,報編工業區區
B,聚興產業園區,產業創新,開發中,縣市政府,14.76,221485.799,2678455.737,報編工業區區
D,永康科技工業區,促進產業,已開發完成,永康科技工業區服務中,132.45,176076.514,2548943.045,報編工業區區
D,柳營科技暨環保工業區,促進產業,已開發完成,柳營工業區服務中心,243.39,184225.034,2575167.95,報編工業區區
D,樹谷園區工業區,促進產業,已開發完成,樹谷園區服務中心,247.39,174275.931,2555389.529,報編工業區區
D,新吉工業區,促進產業,開發中,台南市政府經濟發展局,123.26,166816.663,2553346.471,報編工業區區
D,保安工業區,獎勵投資,已開發完成,保安工業區管理會,59.81,172821.084,2535875.8,報編工業區區
D,新市工業區,獎勵投資,已開發完成,新市工業區管理發展協,24.83,178285.26,2553200.436,報編工業區區
D,龍崎工業區,獎勵投資,已開發完成,歐欣環保股份有限公司,342,189416.516,2535948.374,報編工業區區
D,龍船工業區,獎勵投資,已開發完成,聯錏鋅彩股份有限公司,17,187577.347,2538945.499,報編工業區區
D,台南市學甲段,獎勵投資,已開發完成,東盟開發實業公司,44,165048.37,2573191.656,報編工業區區
D,台南市南部段,獎勵投資,已開發完成,威致鋼鐵股份有限,14,179747.481,2569571.2,報編工業區區
D,土庫工業用地,獎勵投資,自行購地設廠,縣市政府,15,182137.468,2579765.223,報編工業區區
D,安定工業用地,獎勵投資,自行購地設廠,縣市政府,26,169121.042,2552782.803,報編工業區區
D,上崙工業用地,獎勵投資,自行購地設廠,縣市政府,85,172960.765,2536623.859,報編工業區區
D,山上工業用地,獎勵投資,自行購地設廠,縣市政府,141,182254.107,2556588.55,報編工業區區
D,佳里工業用地,獎勵投資,自行購地設廠,縣市政府,77,165653.151,2564646.878,報編工業區區
D,中坑子工業用地,獎勵投資,自行購地設廠,縣市政府,29.72,185054.128,2534650.564,報編工業區區
D,篤加工業區,促進產業,已開發完成,凱士士企業公司,7.49,161993.473,2562516.036,報編工業區區
D,口寮工業區,促進產業,已開發完成,康那香企業,7.46,161048.469,2566646.973,報編工業區區
D,嘉益工業區,促進產業,已開發完成,官田鋼鐵股份有限公,23.65,178654.941,2568663.799,報編工業區區
D,曾文工業區,促進產業,已開發完成,福隆尖端科技股份有限,11.01,175664.068,2561435.685,報編工業區區
D,皇田集團工業區,促進產業,開發中,皇田工業股份有限公司,5.59,176935.286,2535315.791,報編工業區區
D,凱田工業區,產業創新,已開發完成,凱田實業有限公司,10.31,162036.203,2562783.262,報編工業區區
D,萬國通路產業園區,產業創新,開發中,萬國通路股份有限公司,9.45,176128.668,2537308.75,報編工業區區
D,埤仔頭工業區,產業創新,開發中,台南市政府,6.17,178932.555,2544613.114,報編工業區區
D,七股科技工業區,促進產業,已編定未開發,台南市政府,141.34,161819.571,2557118.497,報編工業區區
D,全程興業產業園區,產業創新,已編定未開發,台南市政府,4.26,176168.731,2577584.106,報編工業區區
D,恒耀工業區,產業創新,編定中,台南市政府,16.68,175529.257,2537177.83,報編工業區區
D,瑞賢歸仁產業園區,產業創新,已編定未開發,台南市政府,6.37,177924.133,2537833.207,報編工業區區
G,白米甕工業用地,獎勵投資,自行購地設廠,縣市政府,68,335801.598,2719837.095,報編工業區區
G,一結工業用地,獎勵投資,自行購地設廠,縣市政府,79.94,324208.758,2741693.419,報編工業區區
T,屏東汽車專業區,獎勵投資,已開發完成,屏東縣政府城鄉發展處,100,193284.047,2504928.624,報編工業區區
T,新園工業用地,獎勵投資,自行購地設廠,屏東縣政府城鄉發展處,100,193007.751,2490701.937,報編工業區區
T,長治工業用地,獎勵投資,自行購地設廠,屏東縣政府城鄉發展處,22,207070.827,2513191.011,報編工業區區
T,萬巒工業用地,獎勵投資,自行購地設廠,屏東縣政府城鄉發展處,27,207798.361,2496592.499,報編工業區區
T,里港工業用地,獎勵投資,自行購地設廠,屏東縣政府城鄉發展處,26,198508.694,2522874.857,報編工業區區
T,六塊厝綠能產業園區,產業創新,編定中,,19.75,193963.797,2503686.997,報編工業區區
J,新竹縣中崙段,獎勵投資,已開發完成,興辦工業人,13,251220.274,2753176.679,報編工業區區
J,芎林工業用地,獎勵投資,自行購地設廠,縣市政府,25,263180.328,2736921.358,報編工業區區
J,新埔工業用地,獎勵投資,自行購地設廠,縣市政府,20,258695.257,2745159.992,報編工業區區
J,大旱坑段,獎勵投資,已開發完成,興辦工業人,13,266873.242,2746603.471,報編工業區區
J,鳳山工業區,產業創新,開發中,民營事業,18.64,250199.451,2750402.208,報編工業區區
J,北埔工業區,獎勵投資,已開發完成,興辦工業人,34.28,256655.506,2732844.94,報編工業區區
J,新竹縣國際AI智慧園區,產業創新,編定中,,12.61,252337.267,2746879.371,報編工業區區
J,寶山鄉大雅段產業園區,產業創新,編定中,,4.4,251879.53,2739013.911,報編工業區區
N,北斗工業區,獎勵投資,已開發完成,民營事業,29,204343.139,2640490.533,報編工業區區
N,牛稠工業用地,獎勵投資,已開發完成,縣市政府,63.05,205486.93,2664860.515,報編工業區區
N,加興企業生化科技廠,促進產業,已開發完成,民營事業與興辦工業人,6.83,194529.842,2657482.445,報編工業區區
N,二林精密機械產業園區,產業創新,編定中,,352.88,189792.156,2650508.32,報編工業區區
Q,大埔美智慧型工業園區,促進產業,開發中,嘉義縣政府,439,200013.095,2609637.434,報編工業區區
Q,大埔美智慧工業園區二,促進產業,已編定未開發,嘉義縣政府,86,201743.764,2609895.619,報編工業區區
Q,馬稠後產業園區,促進產業,開發中,,429.98,175434.226,2592930.905,報編工業區區
Q,新港工業區,獎勵投資,已開發完成,民營事業,188,186516.593,2601740.924,報編工業區區
F,泰山工業區,獎勵投資,已開發完成,興辦工業人,123.244,291834.165,2770703.4,報編工業區區
H,桃園科技工業區,促進產業,已開發完成,縣市政府,274.74,257863.654,2770578.716,報編工業區區
H,大潭濱海特定工業區,促進產業,已開發完成,縣市政府,230.33,254986.002,2768550.986,報編工業區區
H,龍潭渴望園區,促進產業,開發中,民營事業與興辦工業人,75.98,268717.284,2748774.749,報編工業區區
H,烏樹林工業區,獎勵投資,自行購地設廠,縣市政府,51.107,270996.197,2753338.557,報編工業區區
H,北部特定工業區,獎勵投資,已開發完成,民營事業,470,282430.443,2769729.11,報編工業區區
H,大興工業區,獎勵投資,已開發完成,興辦工業人,17.988,263224.265,2754941.949,報編工業區區
H,許厝港段,獎勵投資,已開發完成,興辦工業人,16,267714.55,2774642.175,報編工業區區
H,銅鑼圈段,獎勵投資,已開發完成,興辦工業人,11,270648.548,2747966.094,報編工業區區
H,高山頂段工業用地,獎勵投資,已開發完成,興辦工業人,19.969,265471.573,2757191.054,報編工業區區
H,桃園南興段,獎勵投資,已開發完成,興辦工業人,16.837,276165.713,2754927.78,報編工業區區
H,下陰影窩段工業區,獎勵投資,開發中,民營事業與興辦工業人,22.284,260287.438,2758270.486,報編工業區區
H,海湖坑口工業區,獎勵投資,自行購地設廠,縣市政府,177.335,276743.695,2777272.926,報編工業區區
H,永安工業用地,獎勵投資,自行購地設廠,縣市政府,35,253751.186,2763838.51,報編工業區區
H,桃園幼獅擴大工業區,獎勵投資,自行購地設廠,縣市政府,98,266327.032,2757655.601,報編工業區區
H,龍潭工業區,促進產業,已開發完成,民營事業與興辦工業人,27.44,269224.598,2749840.154,報編工業區區
H,觀塘工業區,促進產業,開發中,民營事業與興辦工業人,1176,254767.744,2770327.436,報編工業區區
H,大洋工業區,促進產業,開發中,民營事業與興辦工業人,10.57,254415.542,2767527.02,報編工業區區
H,日禕紡織工業區,促進產業,開發中,民營事業與興辦工業人,5.88,265220.224,2763201.811,報編工業區區
H,東和鋼鐵工業區,促進產業,開發中,民營事業與興辦工業人,27.32,264283.993,2773211.415,報編工業區區
H,美超微科技園區,產業創新,已開發完成,興辦工業人,5.7,282060.095,2760199.826,報編工業區區
H,太平洋電纜公司楊梅工,促進產業,已開發完成,民營事業與興辦工業人,6.65,266235.38,2760527.466,報編工業區區
H,桃園科技工業區第二期,產業創新,已編定未開發,,58.05,260089.047,2771173.034,報編工業區區
H,沙崙產業園區,產業創新,開發中,,28.36,270979.718,2776784.477,報編工業區區
H,長榮國際儲運大園倉儲,產業創新,開發中,,9.27,274923.943,2778125.517,報編工業區區
U,光華樂活創意園區,獎勵投資,開發中,縣市政府,70,310358.609,2648087.216,報編工業區區
U,大富段,獎勵投資,已開發完成,興辦工業人,13,288661.293,2611791.7,報編工業區區
U,三棧工業區(花蓮海洋?,獎勵投資,開發中,民營事業與興辦工業人,22.66,312903.53,2666466.446,報編工業區區
U,萬榮工業區,獎勵投資,開發中,民營事業與興辦工業人,50,292436.007,2622054.203,報編工業區區
U,光榮工業區,獎勵投資,已編定未開發,縣市政府,55.09,309137.853,2646591.215,報編工業區區
U,光隆博物館,獎勵投資,已開發完成,民營事業與興辦工業人,7.33,311961.23,2661775.069,報編工業區區
P,大將工業區,獎勵投資,已開發完成,民營事業,21,198880.759,2627310.708,報編工業區區
P,莿桐工業用地,獎勵投資,自行購地設廠,縣市政府,24,198333.4,2627140.364,報編工業區區
P,褒忠工業用地,獎勵投資,自行購地設廠,縣市政府,20,177221.101,2623963.934,報編工業區區
P,麻園工業用地,獎勵投資,自行購地設廠,縣市政府,20,203497.095,2629962.342,報編工業區區
P,斗六林內段,獎勵投資,已開發完成,民營事業與興辦工業人,20,206790.679,2623245.298,報編工業區區
M,南投旺來產業園,產業創新,開發中,,16.59,215887.758,2642962.878,報編工業區區
M,埔里地方特色產業微型,產業創新,開發中,,5,245817.26,2653871.303,報編工業區區
K,西山工業用地,獎勵投資,自行購地設廠,縣市政府,80,230860.924,2720704.045,報編工業區區
K,中興工業區南區,獎勵投資,已開發完成,民營事業,48,229868.901,2709241.473,報編工業區區
K,中興工業區北區,獎勵投資,已開發完成,民營事業,34,229671.213,2710311.113,報編工業區區
K,廣源科技園區,獎勵投資,已開發完成,興辦工業人,20.332,240868.153,2734590.138,報編工業區區
K,三義工業區,獎勵投資,已開發完成,民營事業,76,224099.078,2696676.594,報編工業區區
K,三義汽車製造工業區,獎勵投資,已開發完成,興辦工業人,276,224314.726,2698031.775,報編工業區區
K,寶源機械,獎勵投資,已開發完成,興辦工業人,28.389,240872.333,2735380.812,報編工業區區
K,口過港段工業用地,獎勵投資,已開發完成,興辦工業人,41,221752.655,2720262.688,報編工業區區
K,公館子工業用地,獎勵投資,自行購地設廠,縣市政府,13,237302.827,2728522.377,報編工業區區
K,西湖工業用地,獎勵投資,自行購地設廠,縣市政府,52,223753.392,2717996.637,報編工業區區
K,勝暉產業園區,產業創新,編定中,,18.65,229787.119,2707875.085,報編工業區區
K,福安工業區,產業創新,已開發完成,,25.48,231636.794,2720762.009,報編工業區區
K,通灣段及北勢窩段山坡,產業創新,編定中,,10.95,218970.04,2711869.488,報編工業區區
K,三義文化藝術產業園區,產業創新,編定中,,29.51,225050.859,2699273.216,報編工業區區
E,岡山本洲暨環保園區,促進產業,已開發完成,,208.13,174959.688,2523553.022,報編工業區區
E,高雄前峰子段,獎勵投資,已開發完成,高雄市政府經濟發展局,53,178165.58,2525770.312,報編工業區區
E,高雄台上段,獎勵投資,已開發完成,民營事業與興辦工業人,13,176668.44,2524434.253,報編工業區區
E,路竹工業用地,獎勵投資,自行購地設廠,工業區自組廠協會,25.4,172152.024,2526274.682,報編工業區區
E,橋頭工業用地,獎勵投資,自行購地設廠,民營事業與興辦工業人,34.23,176032.839,2518472.119,報編工業區區
E,燕巢工業用地,獎勵投資,自行購地設廠,民營事業與興辦工業人,31.13,182870.886,2519594.349,報編工業區區
E,南六企業股份有限公司,產業創新,開發中,南六企業股份有限公司,7.31,182679.734,2520267.724,報編工業區區
E,英鈿工業股份有限公司,產業創新,開發中,英鈿工業股份有限公司,6.18,177865.841,2531182.065,報編工業區區
E,慈陽科技工業股份有限,產業創新,開發中,慈陽科技工業股份有限,9.8,177244.575,2531232.052,報編工業區區
E,城毅紙器工業園區,產業創新,開發中,誠毅紙器股份有限公司,24.57,171412.712,2524647.599,報編工業區區
E,永新工業區,促進產業,開發中,高雄市政府經濟發展局,12.47,178588.479,2525689.363,報編工業區區
E,大德工業區,促進產業,已開發完成,高雄市政府經濟發展局,19.57,179595.809,2522684.217,報編工業區區
E,中鋼結構燕巢工業區,促進產業,開發中,中國鋼鐵結構股份有限,45.01,183900.566,2520062.786,報編工業區區
E,油機工業股份有限公司,促進產業,已開發完成,油機工業股份有限公司,15.49,176311.359,2531368.024,報編工業區區
E,芳生螺絲申編工業區,促進產業,已開發完成,芳生螺絲公司,5.86,174413.148,2524338.406,報編工業區區
E,天聲工業股份有限公司,產業創新,已開發完成,天聲工業股份有限公司,9.35,178323.102,2531093.326,報編工業區區
E,震南鐵線產業園區,產業創新,開發中,,13.75,177587.039,2531205.069,報編工業區區
E,安南段正隆紙器產業園,產業創新,已編定未開發,,10.37,183475.184,2520610.05,報編工業區區
E,林園高值化產業園區,石化產業高值化推動方案,編定中,,3.99,188796.511,2488930.454,報編工業區區
E,和發產業園區,產業創新,開發中,,136.23,191294.892,2500653.011,報編工業區區
E,仁武產業園區,產業創新,編定中,,74.05,184562.184,2511043.037,報編工業區區
E,宇揚航太科技產業園區,產業創新,開發中,,12.12,178790.271,2523326.527,報編工業區區
E,大井泵浦工業股份有限,產業創新,編定中,,5.76,178038.569,2531172.021,報編工業區區
E,裕鐵企業路竹產業園區,產業創新,編定中,,17.39,176983.58,2526786.373,報編工業區區
Q,嘉義縣水產精品加值產,產業創新,開發中,,8.96,165206.251,2579739.073,報編工業區區
E,新材料循環產業園區,全國循環專區試點暨新材料循環產業園區申請設置計畫,已編定未開發,,0,182729.102,2491267.499,編定工業區
H,桃園環保園區,促進產業,開發中,環保署,0,255969.167,2769782.716,環保科技園區
U,花蓮環保園區,促進產業,開發中,環保署,0,296311.544,2619799.568,環保科技園區
D,和順工業區,台南市政府開發,已開發,台南市政府,0,170126.407,2549371.241,縣市開發工業區
D,麻豆工業區,台南市政府開發,已開發,台南市政府,0,170883.384,2564755.761,縣市開發工業區
D,總頭寮工業區,台南市政府開發,已開發,台南市政府,0,168698.514,2551112.317,縣市開發工業區
D,仁德工業區,台南市政府開發,已開發,台南市政府,0,173422.141,2542819.322,縣市開發工業區
D,亞太工業區,台南市政府開發,已開發,台南市政府,0,172792.642,2547976.805,縣市開發工業區
D,後壁工業區,台南市政府開發,已開發,台南市政府,0,184402.204,2584358.477,縣市開發工業區
D,灣裡工業區,台南市政府開發,已開發,台南市政府,0,165870.07,2535528.854,縣市開發工業區
D,新田工業區,台南市政府開發,已開發,台南市政府,0,174209.172,2540070.959,縣市開發工業區
B,永隆工業區,促進產業,開發中,縣市政府,5.28,221852.842,2666206.205,報編工業區區
D,沙崙智慧綠能科學城,,編定中,,289,176657.106,2536131.461,報編工業區
