縣市代碼,縣市名稱,學校代碼,學校名稱,班級數7年級,班級數8年級,班級數9年級,學生數7年級男,學生數7年級女,學生數8年級男,學生數8年級女,學生數9年級男,學生數9年級女,上學年男畢業生,上學年女畢業生,男專任教師,女專任教師,男職員,女職員,lat,lng,index
1,新北市,14560,市立鳳鳴國中,5,6,7,53,61,70,60,82,69,74,64,17,29,2,7,24.967216,121.332153,190
8,南投縣,84504,縣立鳳鳴國中,1,1,1,5,5,6,0,8,9,6,7,5,7,1,3,23.9249467,120.6398896,493
2,宜蘭縣,24504,縣立羅東國中,21,18,20,255,278,258,244,258,255,246,227,47,99,1,12,24.6830368,121.7677307,213
2,宜蘭縣,24505,縣立東光國中,7,7,7,94,88,94,93,94,95,96,118,22,35,2,6,24.6718092,121.7674792,214
6,臺中市,64532,市立成功國中,17,18,20,226,235,244,221,275,252,246,232,35,100,2,10,24.0940491,120.6992732,256
21,臺南市,213507,市立成功國中,3,3,3,30,42,33,30,45,35,36,28,6,18,2,2,22.9747562,120.2215652,750
17,基隆市,173509,市立成功國中,5,4,5,51,51,38,43,45,36,37,50,15,26,2,7,25.1325573,121.7511449,766
12,高雄市,124548,市立桃源國中,2,2,2,6,10,6,11,8,12,10,8,12,5,0,4,23.1787498,120.7809212,260
30,臺北市,423504,市立桃源國中,5,5,4,61,38,54,42,44,57,68,51,15,29,2,11,25.0329636,121.5654268,904
12,高雄市,124549,市立中崙國中,2,2,2,20,17,21,21,33,24,20,25,7,11,1,5,22.6035837,120.3533539,261
30,臺北市,313302,市立中崙高中附設國中部,7,7,7,78,82,90,86,83,100,68,94,0,0,0,0,25.0496729,121.5616827,819
13,屏東縣,131501,私立南榮國中(代用),11,11,11,209,215,211,217,189,201,221,198,27,42,3,8,22.5134555,120.5183066,266
17,基隆市,173508,市立南榮國中,3,3,3,22,16,19,14,32,20,21,21,10,17,3,3,25.1201786,121.7460791,765
13,屏東縣,134502,縣立中正國中,18,18,19,267,242,240,247,247,240,273,264,44,95,1,12,22.6730776,120.5096318,272
16,澎湖縣,164502,縣立中正國中,4,3,3,26,34,39,22,24,26,26,18,20,11,0,6,23.5604052,119.5987514,355
4,新竹縣,44522,縣立中正國中,3,3,3,39,31,42,23,44,41,43,48,2,23,0,5,24.8387226,121.0177246,578
72,連江縣,724502,縣立中正國中(小),1,1,1,10,10,11,10,8,17,9,7,8,6,2,3,26.1592159,119.9199981,961
14,臺東縣,144517,縣立新港國中,4,3,4,32,39,29,49,33,55,41,37,12,22,2,6,23.1012923,121.3764384,323
10,嘉義縣,104506,縣立新港國中,9,11,12,114,119,158,143,158,154,185,170,24,60,2,9,23.4518428,120.2554615,629
15,花蓮縣,154515,縣立鳳林國中,4,3,4,44,40,41,40,45,36,49,45,15,15,1,7,23.7444815,121.4489814,345
50,高雄市,613502,市立鳳林國中,3,3,4,33,23,32,25,27,37,37,39,11,21,1,5,22.5212674,120.3481181,952
15,花蓮縣,154522,縣立自強國中,8,7,8,113,107,97,81,100,87,124,88,25,35,2,7,23.9978564,121.5992803,352
4,新竹縣,44528,縣立自強國中,12,10,12,142,160,141,143,164,138,116,151,17,78,1,10,24.745167,121.085442,584
16,澎湖縣,164501,縣立馬公國中,12,13,14,167,149,144,158,152,146,176,164,46,65,4,8,23.5701711,119.5809907,354
16,澎湖縣,164503,縣立澎南國中,1,1,1,1,6,6,9,11,9,9,13,8,4,1,3,23.5267388,119.5888743,356
6,臺中市,64533,市立和平國中,2,2,2,5,8,5,10,7,8,4,10,8,12,3,1,24.1782072,120.8827288,364
30,臺北市,333301,市立和平高中附設國中部,6,6,6,92,83,103,77,87,91,84,68,0,0,0,0,25.0196314,121.5491522,832
7,彰化縣,74505,縣立陽明國中,13,14,14,169,170,197,177,227,178,239,201,37,73,3,8,24.086045,120.550169,393
50,高雄市,553504,市立陽明國中,31,31,31,453,452,484,405,497,453,422,427,56,166,5,15,22.6430809,120.3404447,931
3,桃園市,34517,市立大成國中,24,24,24,402,355,386,360,371,354,394,302,60,121,4,11,24.9581072,121.305089,426
21,臺南市,213504,市立大成國中,10,10,11,129,137,139,120,137,133,113,137,19,57,3,6,22.978864,120.197917,747
6,臺中市,64512,市立大安國中,3,3,3,21,11,21,26,22,21,25,25,10,18,1,5,24.3649775,120.6017297,456
30,臺北市,333502,市立大安國中,14,14,14,227,142,222,186,232,163,170,155,28,79,3,15,25.0306323,121.5477558,835
3,桃園市,34541,市立介壽國中,0,0,0,0,0,0,0,0,0,25,27,0,0,0,0,24.9936281,121.3009798,473
30,臺北市,313501,市立介壽國中,21,21,21,318,305,330,319,327,274,344,291,40,124,3,20,25.0568339,121.5563789,820
8,南投縣,84517,縣立三光國中,4,4,4,40,34,54,25,43,36,73,33,12,25,1,5,23.8502778,120.6691667,505
19,臺中市,193524,市立三光國中,6,6,6,52,72,80,64,65,68,79,73,12,35,1,7,24.167687,120.6978809,720
8,南投縣,84528,縣立民和國中,1,1,1,3,7,12,8,11,15,15,16,7,8,1,3,23.7990131,120.9178466,516
10,嘉義縣,104522,縣立民和國中,4,4,4,34,11,22,20,37,14,33,18,13,24,2,4,23.4649908,120.5549755,646
8,南投縣,84531,縣立仁愛國中,2,2,2,15,19,27,22,14,20,23,24,9,9,1,3,24.0317914,121.141863,519
4,新竹縣,44527,縣立仁愛國中,14,14,14,211,196,204,200,219,175,210,194,24,86,0,14,24.8327902,121.014325,583
3,桃園市,34550,市立光明國中,18,21,18,264,238,293,282,272,238,265,216,37,110,3,11,25.0446151,121.2893757,537
19,臺中市,193509,市立光明國中,16,17,16,199,199,214,225,202,230,203,247,37,97,4,9,24.1322703,120.6732226,707
11,臺南市,114537,市立東山國中,2,2,3,15,11,15,12,19,24,20,18,10,9,0,5,23.3168284,120.4028412,695
19,臺中市,193315,市立東山高中附設國中部,22,21,22,346,335,316,339,320,336,332,289,0,0,0,0,24.1477358,120.6736482,698
19,臺中市,193521,市立至善國中,8,9,9,111,86,132,98,131,118,124,98,20,51,1,7,24.1745617,120.6403324,717
30,臺北市,413504,市立至善國中,3,3,3,30,17,31,14,31,14,25,13,12,19,1,10,25.0329636,121.5654268,894
19,臺中市,193523,市立大業國中,18,16,16,299,299,282,290,289,256,252,215,39,84,0,13,24.1477358,120.6736482,719
20,嘉義市,203501,市立大業國中,4,4,4,51,39,55,48,50,53,61,70,14,24,3,7,23.4624845,120.4540512,728
20,嘉義市,203505,市立民生國中,22,23,22,310,284,345,264,315,267,348,281,57,115,1,14,23.4647146,120.4401293,732
30,臺北市,313502,市立民生國中,8,8,8,113,110,120,117,107,86,123,107,17,52,5,9,25.0597793,121.5667159,821
17,基隆市,173501,市立明德國中,8,8,9,71,69,92,80,83,91,102,91,17,53,5,5,25.1276033,121.7391833,761
30,臺北市,423503,市立明德國中,12,12,11,195,141,188,150,158,161,155,132,25,76,1,18,25.107897,121.5190055,903
17,基隆市,173503,市立信義國中,3,5,5,38,20,41,38,59,43,31,32,5,33,2,7,25.129523,121.7684782,763
30,臺北市,323505,市立信義國中,10,10,10,112,96,136,94,128,97,131,119,28,57,6,11,25.0288257,121.5677566,827
18,新竹市,183503,市立光華國中,18,22,19,242,226,315,260,282,249,271,245,39,112,0,15,24.8179414,120.9738585,782
50,高雄市,593504,市立光華國中,11,11,12,134,146,162,149,175,161,153,133,23,76,3,9,22.611216,120.3224586,947
18,新竹市,183510,市立三民國中,27,26,24,359,377,405,335,363,332,317,270,42,129,2,13,24.8138287,120.9674798,787
30,臺北市,403503,市立三民國中,6,6,6,91,77,81,77,62,68,79,58,18,38,3,11,25.069161,121.5863956,883
50,高雄市,553502,市立三民國中,11,12,11,138,156,141,180,137,144,156,181,29,72,3,8,22.6465942,120.3071577,929
18,新竹市,183511,市立內湖國中,2,3,3,13,26,27,26,30,23,26,25,7,15,0,8,24.8138287,120.9674798,788
30,臺北市,403501,市立內湖國中,10,10,11,127,102,135,112,116,108,98,114,28,64,4,13,25.077035,121.5886895,881
21,臺南市,213515,市立新興國中,5,5,6,49,45,67,52,63,56,84,73,16,31,0,7,22.9777752,120.1864765,811
30,臺北市,343505,市立新興國中,4,4,4,59,32,59,35,40,38,41,29,12,28,4,9,25.062038,121.5263386,844
30,臺北市,311401,私立普林思頓高中附設國中部,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,25.0329636,121.5654268,817
30,臺北市,333304,市立芳和實驗中學附設國中部,3,5,4,35,21,50,33,40,32,52,42,0,0,0,0,25.0187358,121.5502421,833
30,臺北市,333507,市立民族實驗國中,4,4,4,43,38,41,42,43,39,63,42,15,23,2,10,25.0329636,121.5654268,838
50,高雄市,553503,市立民族國中,7,8,9,74,64,86,60,92,87,104,92,14,61,4,5,22.6397894,120.3330719,930
30,臺北市,353501,市立螢橋國中,5,6,5,93,69,79,82,83,70,80,67,17,34,1,11,25.0329636,121.5654268,847
30,臺北市,353502,市立古亭國中,6,6,6,66,76,81,79,63,80,59,65,15,41,1,12,25.0249449,121.5108066,848
